ILS,New Israeli Sheqel,Nouvel Israëli sheqel,Nuevo Shéquel Israelí,Schekel,Shekel,新シェケル,以色列新謝克爾,이스라엘 신 셰켈,Nieuwe Israëlische sjekel,Nuovo siclo israeliano
INR,Indian Rupee,Roupie Indienne,Rupia India,indische Rupie,Rupia indiana,インド・ルピー,印度卢比,인도 루피,Indiase roepie,Rupia indiana
IQD,Iraqi Dinar,Dinar Iraquien,Dinar Iraquí,Irak-Dinar,Dinar iraquiano,イラク・ディナール,伊拉克第纳尔,이라크 디나르,Iraakse dinar,Dinaro iracheno
IRR,Iranian Rial,Rial Iranien,Rial Iraní,Iranischer Rial,Rial iraniano,イラン・リアル,伊朗里亚尔,이란 리알,Iraanse rial,Rial iraniano
ISK,Iceland Krona,Couronne Islandaise,Króna Islandesa,Isländische Krone,Krona islandesa,アイスランド・クローナ,冰岛克朗,아이슬란드 크로나,IJslandse kroon,Corona islandese
ITL,Italian Lira,Lire Italienne,Lira Italiana,Italienische Lira,Lira italiana,イタリア・リラ,義大利里拉,이탈리아 리라,Italiaanse lire ,Lira italiana
JMD,Jamaican Dollar,Dollar Jamaïcain,Dólar Jamaicano,Jamaika-Dollar,Dólar jamaicano,ジャマイカ・ドル,牙买加元,자메이카 달러,Jamaicaanse dollar,Dollaro giamaicano
JOD,Jordanian Dinar,Dinar Jordanien,Dinar Jordano,Jordan-Dinar,Dinar jordano,ヨルダン・ディナール,约旦第纳尔,요르단 디나르,Jordaanse dinar,Dinaro giordano
JPY,Yen,Yen,Yen Japonés,Yen,Iene,円,日本日圓,일본 엔,Japanse yen,Yen giapponese
KES,Kenyan Shilling,Shilling du Kenya,Chelín Keniata,Kenia-Schilling,Xelim queniano,ケニア・シリング,肯尼亚先令,케냐 실링,Keniaanse shilling,Scellino keniota
KGS,Som,Som,Som Kirguís (de Kirguistán),Som,Som,キルギス・ソム,吉尔吉斯斯坦索姆,키르기스스탄 솜,Kirgizische som,Som kirghizo
KHR,Riel,Riel,Riel Camboyano,Riel,Riel,リエル,柬埔寨瑞尔,캄보디아 리엘,Cambodjaanse riel,Riel cambogiano
KMF,Comoro Franc,Franc des Comores,Franco Comoriano (de Comoras),Komoren-Franc,Franco das Comoros,コモロ・フラン,科摩罗法郎,코모로 프랑,Comorese frank,Franco delle Comore
KPW,North Korean Won,Won de la Corée du Nord,Won Norcoreano,Nordkoreanischer Won,Won norte coreano,ウォン,朝鲜朝鮮圆,조선민주주의인민공화국 원,Noord-Koreaanse won,Won nordcoreano
KRW,Won,Won,Won Surcoreano,Südkoreanischer Won,Won sul coreano,ウォン,南韓韓圆,대한민국 원,Zuid-Koreaanse won,Won sudcoreano
KWD,Kuwaiti Dinar,Dinar Koweïtien,Dinar Kuwaití,Kuwait-Dinar,Dinar do Kuwait,クウェート・ディナール,科威特第纳尔,쿠웨이트 디나르,Koeweitse dinar,Dinaro kuwaitiano
KYD,Cayman Islands Dollar,Dollar des Iles Caïmanes,Dólar Caimano (de Islas Caimán),Kaiman-Dollar,Dólar das Ilhas Caimão,ケイマン諸島ドル,开曼元,케이맨 제도 달러,Kaaimaneilandse dollar,Dollaro delle Cayman
KZT,Tenge,Tenge,Tenge Kazajo (de Kazajistán),Tenge,Tenge,テンゲ,哈薩克坦吉,카자흐스탄 텡게,Kazachse tenge,Tenge kazako
LAK,Kip,Kip,Kip Lao,Kip,Kip,キープ,老撾基普,라오스 킵,Laotiaanse kip,Kip laotiano
LBP,Lebanese Pound,Livre Libanaise,Libra Kibanesa,Libanesisches Pfund,Libra libanesa,レバノン・ポンド,黎巴嫩鎊,레바논 파운드,Libanees pond,Lira libanese
